Round,Exhausted,Cumulative Exhausted,% Exhausted,% Cumulative,key info
1.0,0.0,0.0,0.0,0.0,7.0
2.0,34.65209,34.65209,0.91,0.91,4.0
3.0,2.48625,37.13834,0.07,0.98,3803.0
4.0,2.03472,39.17306,0.05,1.03,1.0
5.0,10.42905,49.60211,0.27,1.3,0.0
6.0,35.19737,84.79948,0.93,2.23,13002878.0
