Round,Exhausted,Cumulative Exhausted,% Exhausted,% Cumulative,key info
1.0,0.0,0.0,0.0,0.0,5.0
2.0,331.17336,331.17336,6.0,6.0,4.0
3.0,202.20064,533.374,3.67,9.67,5515.0
4.0,484.58424,1017.95824,8.79,18.46,0.0
5.0,23.7275,1041.68574,0.43,18.89,0.0
,,,,,13002856.0
