Round,Exhausted,Cumulative Exhausted,% Exhausted,% Cumulative,key info
1.0,0.0,0.0,0.0,0.0,8.0
2.0,37.263,37.263,0.85,0.85,3.0
3.0,20.11789,57.38089,0.46,1.31,4382.0
4.0,57.23578,114.61667,1.31,2.62,0.0
5.0,204.86315,319.47982,4.68,7.3,0.0
6.0,58.19786,377.67768,1.33,8.63,13002838.0
7.0,91.32679,469.00447,2.08,10.71,
8.0,169.62344,638.62791,3.87,14.58,
