Round,Exhausted,Cumulative Exhausted,% Exhausted,% Cumulative,key info
1.0,0.0,0.0,0.0,0.0,7.0
2.0,16.88872,16.88872,0.32,0.32,4.0
3.0,53.80354,70.69226,1.01,1.33,5352.0
4.0,2.28837,72.98063,0.04,1.37,1.0
5.0,31.53141,104.51204,0.59,1.96,0.0
,,,,,13003112.0
