Round,Exhausted,Cumulative Exhausted,% Exhausted,% Cumulative,key info
1.0,0.0,0.0,0.0,0.0,7.0
2.0,3386.0,3386.0,50.06,50.06,4.0
3.0,0.0,3386.0,0.0,50.06,6764.0
4.0,0.0,3386.0,0.0,50.06,3.0
5.0,2031.0,5417.0,30.03,80.09,0.0
6.0,0.0,5417.0,0.0,80.09,13003064.0
