ward_id,method,year,cumulative_exhaustion,percentage_christian,pct_over_65,pct_women,pct_married_or_widowed,pct_uni_educated,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked,pct_unemployed,electorate,turnout,k/n
S13002518,3,2017.0,83.7,0.3998,0.251287333,0.014100000000000001,0.5832,0.3521,9.0,3.0,3197.0,3.4063,0.3785,0.0154,6338.0,0.5044,0.3333
S13002518,3,2017.0,83.7,0.3998,0.251287333,0.014100000000000001,0.5832,0.3521,7.0,3.0,3307.0,3.2616,0.4659,0.0154,6338.0,0.5218,0.4286
S13002519,3,2017.0,75.4,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,8.0,4.0,3825.0,3.6021,0.4503,0.0166,8728.0,0.4382,0.5
S13002519,2,2017.0,40.31,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,11.0,4.0,3633.0,3.7528,0.3412,0.0166,8728.0,0.4162,0.3636
S13002519,2,2017.0,40.31,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,8.0,4.0,3825.0,3.6021,0.4503,0.0166,8728.0,0.4382,0.5
S13002519,1,2017.0,7.36,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,11.0,4.0,3633.0,3.7528,0.3412,0.0166,8728.0,0.4162,0.3636
S13002519,1,2017.0,7.36,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,8.0,4.0,3825.0,3.6021,0.4503,0.0166,8728.0,0.4382,0.5
S13002519,0,2017.0,9.39,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,11.0,4.0,3633.0,3.7528,0.3412,0.0166,8728.0,0.4162,0.3636
S13002519,0,2017.0,9.39,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,8.0,4.0,3825.0,3.6021,0.4503,0.0166,8728.0,0.4382,0.5
S13002519,3,2022.0,85.4,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,11.0,4.0,3633.0,3.7528,0.3412,0.0166,8090.0,0.4491,0.3636
S13002519,3,2022.0,85.4,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,8.0,4.0,3825.0,3.6021,0.4503,0.0166,8090.0,0.4728,0.5
S13002519,2,2022.0,58.769999999999996,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,11.0,4.0,3633.0,3.7528,0.3412,0.0166,8090.0,0.4491,0.3636
S13002519,2,2022.0,58.769999999999996,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,8.0,4.0,3825.0,3.6021,0.4503,0.0166,8090.0,0.4728,0.5
S13002519,1,2022.0,12.469999999999999,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,11.0,4.0,3633.0,3.7528,0.3412,0.0166,8090.0,0.4491,0.3636
S13002519,1,2022.0,12.469999999999999,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,8.0,4.0,3825.0,3.6021,0.4503,0.0166,8090.0,0.4728,0.5
S13002519,3,2017.0,75.4,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,11.0,4.0,3633.0,3.7528,0.3412,0.0166,8728.0,0.4162,0.3636
S13002519,0,2022.0,22.38,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,11.0,4.0,3633.0,3.7528,0.3412,0.0166,8090.0,0.4491,0.3636
S13002519,0,2022.0,22.38,0.4248,0.225980392,0.014900000000000024,0.5191,0.3265,8.0,4.0,3825.0,3.6021,0.4503,0.0166,8090.0,0.4728,0.5
S13002520,1,2022.0,5.26,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,10.0,4.0,4149.0,3.8395,0.3839,0.012,8426.0,0.4924,0.4
S13002520,3,2022.0,75.78,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,8.0,4.0,4097.0,3.359,0.4199,0.012,8426.0,0.4862,0.5
S13002520,3,2022.0,75.78,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,10.0,4.0,4149.0,3.8395,0.3839,0.012,8426.0,0.4924,0.4
S13002520,2,2022.0,49.33,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,8.0,4.0,4097.0,3.359,0.4199,0.012,8426.0,0.4862,0.5
S13002520,2,2022.0,49.33,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,10.0,4.0,4149.0,3.8395,0.3839,0.012,8426.0,0.4924,0.4
S13002520,1,2022.0,5.26,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,8.0,4.0,4097.0,3.359,0.4199,0.012,8426.0,0.4862,0.5
S13002520,0,2017.0,16.97,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,8.0,4.0,4097.0,3.359,0.4199,0.012,8248.0,0.4967,0.5
S13002520,0,2022.0,11.03,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,8.0,4.0,4097.0,3.359,0.4199,0.012,8426.0,0.4862,0.5
S13002520,1,2017.0,6.380000000000001,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,10.0,4.0,4149.0,3.8395,0.3839,0.012,8248.0,0.503,0.4
S13002520,1,2017.0,6.380000000000001,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,8.0,4.0,4097.0,3.359,0.4199,0.012,8248.0,0.4967,0.5
S13002520,2,2017.0,38.64,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,10.0,4.0,4149.0,3.8395,0.3839,0.012,8248.0,0.503,0.4
S13002520,2,2017.0,38.64,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,8.0,4.0,4097.0,3.359,0.4199,0.012,8248.0,0.4967,0.5
S13002520,3,2017.0,80.6,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,10.0,4.0,4149.0,3.8395,0.3839,0.012,8248.0,0.503,0.4
S13002520,3,2017.0,80.6,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,8.0,4.0,4097.0,3.359,0.4199,0.012,8248.0,0.4967,0.5
S13002520,0,2022.0,11.03,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,10.0,4.0,4149.0,3.8395,0.3839,0.012,8426.0,0.4924,0.4
S13002520,0,2017.0,16.97,0.4175,0.257073643,0.011299999999999977,0.5893,0.3714,10.0,4.0,4149.0,3.8395,0.3839,0.012,8248.0,0.503,0.4
S13002521,0,2017.0,1.94,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,7.0,3.0,3277.0,3.0687,0.4384,0.0164,5811.0,0.5639,0.4286
S13002521,1,2017.0,1.94,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,6.0,3.0,3484.0,3.0307,0.5051,0.0164,5811.0,0.5996,0.5
S13002521,3,2022.0,84.1,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,7.0,3.0,3277.0,3.0687,0.4384,0.0164,5987.0,0.5474,0.4286
S13002521,3,2022.0,84.1,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,6.0,3.0,3484.0,3.0307,0.5051,0.0164,5987.0,0.5819,0.5
S13002521,0,2017.0,1.94,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,6.0,3.0,3484.0,3.0307,0.5051,0.0164,5811.0,0.5996,0.5
S13002521,2,2022.0,59.35,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,6.0,3.0,3484.0,3.0307,0.5051,0.0164,5987.0,0.5819,0.5
S13002521,0,2022.0,5.58,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,7.0,3.0,3277.0,3.0687,0.4384,0.0164,5987.0,0.5474,0.4286
S13002521,1,2022.0,5.58,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,6.0,3.0,3484.0,3.0307,0.5051,0.0164,5987.0,0.5819,0.5
S13002521,3,2017.0,84.24,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,7.0,3.0,3277.0,3.0687,0.4384,0.0164,5811.0,0.5639,0.4286
S13002521,3,2017.0,84.24,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,6.0,3.0,3484.0,3.0307,0.5051,0.0164,5811.0,0.5996,0.5
S13002521,0,2022.0,5.58,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,6.0,3.0,3484.0,3.0307,0.5051,0.0164,5987.0,0.5819,0.5
S13002521,2,2017.0,52.53,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,6.0,3.0,3484.0,3.0307,0.5051,0.0164,5811.0,0.5996,0.5
S13002521,1,2017.0,1.94,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,7.0,3.0,3277.0,3.0687,0.4384,0.0164,5811.0,0.5639,0.4286
S13002521,1,2022.0,5.58,0.4239,0.350634854,0.012599999999999945,0.6168,0.3741,7.0,3.0,3277.0,3.0687,0.4384,0.0164,5987.0,0.5474,0.4286
