,method,year,cumulative_exhaustion,percentage_christian,pct_over_65,pct_women,pct_married_or_widowed,pct_uni_educated,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked,pct_unemployed,electorate,turnout
method,,,,,,,,,,,,,,,,
year,,1.0,-0.1099541533993375,0.0053263593333242164,0.0016144019658984369,-0.004579377477643067,-0.000788886722901569,0.0019532968259149196,0.0026024761291345926,0.0011969884535861107,-0.0016183609308225474,0.004958802845448549,-0.0019025380464167566,-0.0018486274754810977,-0.06273129884120301,0.11516074090720307
cumulative_exhaustion,,-0.1099541533993375,1.0,0.004350938529034607,-0.06037709345370075,0.044633158125705875,-0.11027323544777888,-0.12342283786937021,0.16966421576244478,-0.06361218179289682,-0.05691721993636868,0.08601395474900991,-0.1983028141414698,0.11592316034959343,-0.003308523472573919,-0.11504990304684257
percentage_christian,,0.0053263593333242164,0.004350938529034607,1.0,0.1820959767590518,0.14146830324352075,0.14232662957003392,-0.23021311460449634,-0.0700667740913408,0.034009099064421795,-0.15860722090120377,-0.08116027868144368,0.07630671806943601,-0.046483237604340866,-0.23527966827749028,0.19946643396747096
pct_over_65,,0.0016144019658984369,-0.06037709345370075,0.1820959767590518,1.0,-0.0008031298378682979,0.6948841992938057,0.09525164566974033,-0.18793759185110842,-0.13634202854483374,-0.285495690934666,-0.2158692741636392,0.11559470833055668,-0.47417191826915756,-0.5797727597291086,0.6055758524265319
pct_women,,-0.004579377477643067,0.044633158125705875,0.14146830324352075,-0.0008031298378682979,1.0,-0.003230647133157579,-0.026585644000988007,-0.016636457348037162,0.012463405691307806,0.2710137618648231,-0.09175434186803101,-0.054442008156676686,0.027040169677366947,0.19146866330526657,-0.033175829029107644
pct_married_or_widowed,,-0.000788886722901569,-0.11027323544777888,0.14232662957003392,0.6948841992938057,-0.003230647133157579,1.0,0.1904545819935698,-0.22221132258461243,-0.1076118148808905,-0.09394670431503678,-0.24694882859399508,0.12424899726769871,-0.6630104391584509,-0.44948645211034477,0.5995404899775861
pct_uni_educated,,0.0019532968259149196,-0.12342283786937021,-0.23021311460449634,0.09525164566974033,-0.026585644000988007,0.1904545819935698,1.0,-0.012962573913182718,-0.06935784252257249,0.42461360142381366,0.11115171853173612,0.10238816953143327,-0.5016465756668359,0.2263158150459278,0.3700706539549322
num_candidates,,0.0026024761291345926,0.16966421576244478,-0.0700667740913408,-0.18793759185110842,-0.016636457348037162,-0.22221132258461243,-0.012962573913182718,1.0,0.35446381407937194,0.2307054400815464,0.7852897468365643,-0.8759401934268601,0.1889457140461835,0.27455782989941346,-0.03116224398387811
num_winners,,0.0011969884535861107,-0.06361218179289682,0.034009099064421795,-0.13634202854483374,0.012463405691307806,-0.1076118148808905,-0.06935784252257249,0.35446381407937194,1.0,0.3760461963438401,0.5708927722188148,-0.09394614689640562,0.12063793271056128,0.2923051195861404,0.0808703847382817
total_votes,,-0.0016183609308225474,-0.05691721993636868,-0.15860722090120377,-0.285495690934666,0.2710137618648231,-0.09394670431503678,0.42461360142381366,0.2307054400815464,0.3760461963438401,1.0,0.22309295881872418,-0.17283013207973913,-0.01866481774521007,0.8554563643054133,0.02222616555371979
average_ballot_length,,0.004958802845448549,0.08601395474900991,-0.08116027868144368,-0.2158692741636392,-0.09175434186803101,-0.24694882859399508,0.11115171853173612,0.7852897468365643,0.5708927722188148,0.22309295881872418,1.0,-0.45182147089471747,0.060754096052342124,0.23297297906648065,0.07089195071792555
percentage_cands_ranked,,-0.0019025380464167566,-0.1983028141414698,0.07630671806943601,0.11559470833055668,-0.054442008156676686,0.12424899726769871,0.10238816953143327,-0.8759401934268601,-0.09394614689640562,-0.17283013207973913,-0.45182147089471747,1.0,-0.21268821775437063,-0.2220188754176489,0.0865380552128537
pct_unemployed,,-0.0018486274754810977,0.11592316034959343,-0.046483237604340866,-0.47417191826915756,0.027040169677366947,-0.6630104391584509,-0.5016465756668359,0.1889457140461835,0.12063793271056128,-0.01866481774521007,0.060754096052342124,-0.21268821775437063,1.0,0.24853066219230216,-0.5552090941792616
electorate,,-0.06273129884120301,-0.003308523472573919,-0.23527966827749028,-0.5797727597291086,0.19146866330526657,-0.44948645211034477,0.2263158150459278,0.27455782989941346,0.2923051195861404,0.8554563643054133,0.23297297906648065,-0.2220188754176489,0.24853066219230216,1.0,-0.41101069136598617
turnout,,0.11516074090720307,-0.11504990304684257,0.19946643396747096,0.6055758524265319,-0.033175829029107644,0.5995404899775861,0.3700706539549322,-0.03116224398387811,0.0808703847382817,0.02222616555371979,0.07089195071792555,0.0865380552128537,-0.5552090941792616,-0.41101069136598617,1.0
