Round,Exhausted,Cumulative Exhausted,% Exhausted,% Cumulative,key info
1.0,0.0,0.0,0.0,0.0,5.0
2.0,0.0,0.0,0.0,0.0,3.0
,,,,,4347.0
,,,,,4.0
,,,,,0.05
,,,,,13003093.0
