Round,Exhausted,Cumulative Exhausted,% Exhausted,% Cumulative,key info
1.0,0.0,0.0,0.0,0.0,7.0
2.0,55.6803,55.6803,0.86,0.86,4.0
3.0,119.16116,174.84146,1.85,2.71,6456.0
4.0,13.98012,188.82158,0.22,2.93,0.0
5.0,195.77164,384.59322,3.03,5.96,0.0
6.0,318.47182,703.06504,4.93,10.89,13002941.0
7.0,599.00331,1302.06835,9.28,20.17,
